YearMonth,records,missing_customerid_pct,duplicate_rows,unique_invoices,unique_customers,unique_products,unique_countries,cancelled_invoices_pct,negative_qty_count,zero_or_negative_price_count
2009-12,45228.0,29.78,506.0,2330.0,1045.0,3141.0,24.0,2.24,1105.0,256.0
2010-01,31555.0,28.89,321.0,1633.0,786.0,2809.0,19.0,2.17,814.0,231.0
2010-02,29388.0,18.65,330.0,1969.0,807.0,2971.0,19.0,1.96,1023.0,531.0
2010-03,41511.0,20.23,526.0,2367.0,1111.0,2928.0,23.0,2.03,1034.0,303.0
2010-04,34057.0,18.28,410.0,1892.0,998.0,2635.0,23.0,1.84,701.0,163.0
2010-05,35323.0,16.19,415.0,2418.0,1062.0,2790.0,20.0,2.78,1352.0,545.0
2010-06,39983.0,20.09,514.0,2216.0,1095.0,2784.0,24.0,1.98,933.0,290.0
2010-07,33383.0,16.89,391.0,2017.0,988.0,2649.0,21.0,2.2,822.0,146.0
2010-08,33306.0,19.11,367.0,1877.0,964.0,2727.0,23.0,1.72,666.0,260.0
2010-09,42091.0,15.93,484.0,2375.0,1202.0,2755.0,28.0,1.93,905.0,170.0
2010-10,59098.0,14.45,849.0,2965.0,1577.0,2903.0,27.0,1.76,1159.0,260.0
2010-11,78015.0,21.18,1431.0,3669.0,1683.0,3137.0,29.0,1.53,1419.0,357.0
2010-12,65004.0,35.92,23023.0,2025.0,948.0,2822.0,24.0,1.63,1191.0,451.0
2011-01,35147.0,37.66,247.0,1476.0,783.0,2645.0,24.0,1.99,797.0,140.0
2011-02,27707.0,26.51,228.0,1393.0,798.0,2431.0,24.0,1.71,523.0,127.0
2011-03,36748.0,24.29,309.0,1983.0,1020.0,2562.0,24.0,1.9,833.0,246.0
2011-04,29916.0,22.46,215.0,1744.0,899.0,2558.0,28.0,1.87,745.0,261.0
2011-05,37030.0,21.93,248.0,2162.0,1079.0,2505.0,21.0,1.68,738.0,245.0
2011-06,36874.0,24.51,265.0,2012.0,1051.0,2672.0,26.0,1.93,818.0,186.0
2011-07,39518.0,30.41,251.0,1927.0,993.0,2748.0,24.0,1.73,802.0,188.0
2011-08,35284.0,21.6,220.0,1737.0,980.0,2614.0,25.0,1.89,718.0,133.0
2011-09,50226.0,18.72,365.0,2327.0,1302.0,2766.0,23.0,1.6,903.0,160.0
2011-10,60742.0,16.54,773.0,2637.0,1425.0,2911.0,26.0,1.98,1346.0,238.0
2011-11,84711.0,22.56,1368.0,3462.0,1711.0,2963.0,24.0,1.27,1213.0,266.0
2011-12,25526.0,30.81,279.0,1015.0,686.0,2494.0,21.0,1.41,390.0,54.0
